tui,tui,,
tun仔,tune,,
tu-to,tuto,,
u,u,,
U,uu,,
UTF-,%encoding,,
v,v,,
V,vv,,
vok,vok,,
w,w,,
W,ww,,
x,x,,
X,xx,,
y,y,,
Y,yy,,
YKS四縣KKS漢羅輸入法,%cname,,
YKS四縣KKS漢羅輸入法,%scname,,
YKS四縣KKS漢羅輸入法,%tcname,,
z,z,,
Z,zz,,
zag,tsang,,
zag,zag,,
zim過,zimko,,
zim喙,zimzoi,,
阿,a,,
阿,o,,
阿爸,apa,,
阿比勒,apl,,
阿伯,apak,,
阿博拿,apn,,
阿爾法,agf,,
阿爾法,angf,,
阿斐,afi,,
阿斐人,afg,,
阿斐人,afng,,
阿哥,ako,,
阿哥仔,ake,,
阿公,akug,,
阿公,akung,,
阿姑,aku,,
阿谷,akuk,,
阿何利巴瑪,ahlpm,,
阿荷拉,ahl,,
阿荷利巴,ahlp,,
阿黑,ahet,,
阿姐,atsi,,
阿姐,azi,,
阿舅,akhiu,,
阿卡巴灣,akhpv,,
阿拉伯,alp,,
阿拉伯人,alpg,,
阿拉伯人,alpng,,
阿勒篾,alm,,
阿里山,als,,
阿連,alien,,
阿林巴,alp,,
阿媽,ame,,
阿妹仔,ame,,
阿媚,omi,,
阿愐,amen,,
阿摩司,ams,,
阿摩司書,amss,,
阿抹,amat,,
阿姆,ame,,
阿姆oi,amo,,
阿姆話,amf,,
阿姆斯特丹,amster,,
阿拿尼,ann,,
阿那,ana,,
阿南,anam,,
阿尼安,ano,,
阿尼色弗,ansf,,
阿尼西謀,ansm,,
阿挪,ano,,
阿婆,apho,,
阿婆太,aphth,,
阿撒細雅,assg,,
阿撒細雅,assng,,
阿撒瀉勒,assl,,
阿薩細雅,assg,,
阿薩細雅,assng,,
阿散,asan,,
阿嫂,aso,,
阿叔,asuk,,
阿斯尼,asn,,
阿蘇巴,asp,,
阿蘇芭,asp,,
阿轄,ahot,,
阿鮮,asien,,
阿姨,ayi,,
啊,a,,
啊噢,ao,,
嗄,ha,,
嗄,sia,,
哎,ai,,
哀,oi,,
哀悼,oitho,,
哀歌,oiko,,
哀歌書,oks,,
哀噭,oikieu,,
哀嫩,oinun,,
哀求,oikhiu,,
哀榮,oiyug,,
哀榮,oiyung,,
哀傷,oisog,,
哀傷,oisong,,
哀聲,oisag,,
哀聲,oisang,,
哀嘆,oithan,,
哀喲,aiyo,,
哀子歌,otsk,,
哀子歌,ozk,,
埃,ai,,
埃及,aikhip,,
埃及地,akhth,,
埃及河,ak,,
埃及河,akhh,,
埃及話,akhf,,
埃及名,akhm,,
埃及人,akhg,,
埃及人,akhng,,
埃及神,akhs,,
埃及王,akhv,,
埃色,aiset,,
唉,ai,,
唉,hai,,
唉哉,aitsai,,
唉哉,aizai,,
欸,ai,,
挨,ai,,
挨打,gaita,,
挨打,ngaita,,
挨礱,ailug,,
挨礱,ailung,,
挨弦,aihien,,
捱,ai,,
捱,gai,,
捱,ngai,,
捱餓,gaigo,,
捱餓,ngaingo,,
啀,gai,,
啀,ngai,,
溰,khi,,
溰,vi,,
皚,goi,,
皚,ngoi,,
癌,gam,,
癌,ngam,,
毐,ai,,
矮,ai,,
矮tut指；,atz,,
矮矮,aiai,,
矮牆,aiciog,,
矮牆,aitshiong,,
矮樹,aisu,,
矮細,aise,,
藹,ai,,
靄,ai,,
艾,gie,,
艾,ngie,,
艾城,giesag,,
艾城,ngiesa,,
艾人,giegin,,
艾人,ngieng,,
艾雅,giega,,
艾雅,ngieng,,
隘,ai,,
隘口,aiheu,,
嗌,yit,,
愛,oi,,
愛cii,oicii,,
愛kiuk,oikiuk,,
愛lim,oilim,,
愛tshii,oitshii,,
愛拜,oipai,,
愛辦,oiphan,,
愛揹,oipa,,
愛焙,oiphoi,,
愛比,oipi,,
愛比該,opk,,
愛俾,oipun,,
愛財,oicoi,,
愛財,oitshoi,,
愛拆,oicak,,
愛拆,oitshak,,
愛唱,oicog,,
愛唱,oitshong,,
愛傳,oicon,,
愛傳,oitshon,,
愛搭,oitap,,
愛打,oita,,
愛代,oithoi,,
愛帶,oitai,,
愛戴,oitai,,
愛彈,oithan,,
愛到,oito,,
愛定,oithin,,
愛頓,oitun,,
愛發,oipot,,
愛告,oiko,,
愛管,oikon,,
愛過,oiko,,
愛還,oivan,,
愛害,oihoi,,
愛喊,oiham,,
愛行,oihag,,
愛行,oihang,,
愛護,oifu,,
愛繫,oikie,,
愛見,oikien,,
愛跈,oithen,,
愛講,oikog,,
愛講,oikong,,
愛繳,oikieu,,
愛教,oikau,,
愛接,oitsiap,,
愛接,oiziap,,
愛驚,oikiag,,
愛驚,oikiang,,
愛救,oikiu,,
愛看,oikhon,,
愛扛,oikog,,
愛扛,oikong,,
愛靠,oikho,,
愛刻,oikhat,,
愛綑,oikhun,,
愛來,oiloi,,
愛立,oilip,,
愛憐,oilin,,
愛戀,oilien,,
愛落,oilok,,
愛買,oimai,,
愛賣,oimai,,
愛滅,oimet,,
愛慕,oimu,,
愛拿,oina,,
愛納,oinap,,
愛惱,oinau,,
愛派,oiphai,,
愛歕,oiphun,,
愛起,oihi,,
愛錢,oicien,,
愛錢,oitshien,,
愛情,oicin,,
愛情,oitshin,,
愛去,oihi,,
愛去奈位,ohnv,,
愛人,oigin,,
愛人,oingin,,
愛入,oigip,,
愛入,oingip,,
愛射,oisa,,
愛食,oisiit,,
愛使,oisii,,
愛收,oisu,,
愛守,oisu,,
愛受,oisu,,
愛死,oisi,,
愛算,oison,,
愛討,oitho,,
愛聽,oithag,,
愛聽,oithang,,
愛惜,oisiak,,
愛先,oisien,,
愛獻,oihien,,
愛寫,oisia,,
愛心,oisim,,
愛選,oisien,,
愛尋,oicim,,
愛尋,oitshim,,
愛亞,oia,,
愛筵,oiyen,,
愛用,oiyug,,
愛用,oiyung,,
愛有,oiyu,,
愛知,oiti,,
愛主,oitsu,,
愛主,oizu,,
愛煮,oitsu,,
愛煮,oizu,,
愛住,oihet,,
愛著,oiten,,
愛轉,oitson,,
愛轉,oizon,,
愛捉,oitsok,,
愛捉,oizok,,
愛子,oitsii,,
愛子,oizii,,
愛做,oitso,,
愛做,oizo,,
僾,oi,,
壒,ai,,
鴱,gai,,
鴱,goi,,
鴱,ngai,,
鴱,ngoi,,
薆,oi,,
噯,oi,,
嬡,oi,,
璦,oi,,
曖,oi,,
礙,goi,,
礙,ngoi,,
礙倒,goito,,
礙倒,ngoito,,
礙到,gaito,,
礙到,ngaito,,
譺,gi,,
譺,ngi,,
安,on,,
安安,onon,,
安到,onto,,
安德烈,otl,,
安定,onthin,,
安頓,ontun,,
安多尼古,otnk,,
安放,onpiog,,
安放,onpiong,,
安分,onfun,,
安份,onfun,,
安好,onho,,
安靜,oncin,,
安靜,ontshin,,
安居,onki,,
安康,onkhog,,
安康,onkhong,,
安門,onmun,,
安密巴,omp,,
安名,onmiag,,
安名,onmiang,,
安娜,onna,,
安寧,onnen,,
安排,onphai,,
安全,oncion,,
安全,ontshion,,
安全帽,ocm,,
安全帽,otshm,,
安然,onyen,,
安設,onsat,,
安身,onsiin,,
安睡,onsoi,,
安提阿,otha,,
安提帕,othph,,
安提帕底,othpht,,
安提亞人,othag,,
安提亞人,othang,,
安陀提雅,oththg,,
安陀提雅,oththng,,
安慰,onvi,,
安穩,onvun,,
安息,onsit,,
安息年,osg,,
安息年,osng,,
安息日,osg,,
安息日,osng,,
安享,onhiog,,
安享,onhiong,,
安心,onsim,,
安營,onyag,,
安營,onyang,,
安樂,onlok,,
安樂椅,oly,,
安葬,ontsong,,
安葬,onzog,,
安置,ontsii,,
安置,onzii,,
安著,onten,,
安裝,ontsong,,
安裝,onzog,,
安做,ontso,,
安做,onzo,,
氨,on,,
庵,am,,
腤,am,,
鞍,on,,
盦,am,,
諳,am,,
闇,am,,
鵪,em,,
鵪鶉,emthun,,
雸,kam,,
俺,am,,
唵,am,,
唵,yam,,
晻,yam,,
銨,on,,
犴,hon,,
岸,gan,,
岸,ngan,,
岸邊,ganpie,,
岸邊,nganpie,,
岸上,gansog,,
岸上,ngansong,,
按,on,,
按立,onlip,,
按立禮,oll,,
按時,onsii,,
按手,onsu,,
按手禮,osl,,
按月,ongiet,,
按照,ontseu,,
按照,onzeu,,
豻,gan,,
豻,ngan,,
胺,ot,,
案,on,,
案件,onkhie,,
案情,oncin,,
案情,ontshin,,
案仔,one,,
婩,gan,,
婩,ngan,,
暗,am,,
暗暗,amam,,
暗伯利,apl,,
暗晡,ampu,,
暗晡時,aps,,
暗晡頭,apth,,
暗晡夜,apy,,
暗餐,amcon,,
暗餐,amtsho,,
暗地,amthi,,
暗掉,amthet,,
暗妃坡里,afphl,,
暗號,amho,,
暗祭,amtsi,,
暗祭,amzi,,
暗拉非,alf,,
暗蘭,amlan,,
暗利,amli,,
暗利王,alv,,
暗米薩拔,amsph,,
暗嫩,amnun,,
暗殺,amsat,,
暗時,amsii,,
暗示,amsii,,
暗世,amsii,,
暗算,amson,,
暗西,amsi,,
暗洗,amse,,
暗笑,amseu,,
暗夜,amya,,
暗中,amtsun,,
暗中,amzug,,
儑,gam,,
儑,ngam,,
黯,am,,
骯,og,,
骯,ong,,
昂,go,,
昂,gog,,
昂,ngo,,
昂,ngong,,
昂昂,gogo,,
昂昂,ngongo,,
昂到,goto,,
昂到,ngoto,,
昂起,gohi,,
昂起,ngohi,,
昂頭,gotheu,,
昂頭,ngotheu,,
盎,ag,,
盎,ang,,
盎肚,agtu,,
盎肚,angtu,,
盎仔,age,,
盎仔,ange,,
凹,au,,
凹,giap,,
凹,ngiap,,
爊,peu,,
爊,piau,,
敖,gau,,
敖,ngau,,
遨,gau,,
遨,ngau,,
嗷,gau,,
嗷,ngau,,
廒,gau,,
廒,ngau,,
璈,gau,,
璈,ngau,,
獒,gau,,
獒,ngau,,
摮,gau,,
摮,ngau,,
熬,gau,,
熬,ngau,,
磝,gau,,
磝,ngau,,
聱,gau,,
聱,ngau,,
螯,gau,,
螯,ngau,,
翱,gau,,
翱,ngau,,
翱翔,gausio,,
翱翔,ngausio,,
謷,gau,,
謷,ngau,,
鏖,gau,,
鏖,ngau,,
鰲,gau,,
鰲,ngau,,
鰲人,gaugin,,
鰲人,ngaungin,,
鼇,gau,,
鼇,ngau,,
芺,yau,,
芺,yeu,,
媼,o,,
襖,o,,
坳,au,,
奡,gau,,
奡,go,,
奡,ngau,,
奡,ngo,,
傲,gau,,
傲,ngau,,
傲到,gauto,,
傲到,ngauto,,
傲慢,gauman,,
傲慢,ngauma,,
奧,o,,
奧古斯都,okst,,
奧秘,opi,,
奧妙,omeu,,
擙,au,,
澳,o,,
懊,au,,
懊,o,,
鏊,gau,,
鏊,ngau,,
驁,gau,,
驁,ngau,,
八,pat,,
八百,patpak,,
八布迦,ppk,,
八儕,patsa,,
八段,patton,,
八方,patfog,,
八方,patfong,,
八份,patfun,,
八個,patke,,
八角,patkok,,
八羅巴,plp,,
八名,patmia,,
八年,patgie,,
八年,patngie,,
八千,patcie,,
八千,pattshie,,
八人,patgin,,
八人,patngin,,
八日,patgit,,
八日,patngit,,
八十,patsii,,
八歲,patse,,
八萬,patvan,,
八線,patsie,,
八月,patgie,,
八月,patngie,,
八章,pattsong,,
八章,patzog,,
八張,pattsong,,
八張,patzog,,
八支,patki,,
八只,pattsak,,
八只,patzak,,
八隻,pattsak,,
